"","year","Country","YearlyMean"
"1",1743,"Åland",4.384
"2",1743,"Albania",8.62
"3",1743,"Andorra",7.556
"4",1743,"Austria",2.482
"5",1743,"Belarus",0.767
"6",1743,"Belgium",7.106
"7",1743,"Bosnia And Herzegovina",6.391
"8",1743,"Bulgaria",5.928
"9",1743,"Croatia",7.225
"10",1743,"Czech Republic",4.167
"11",1743,"Denmark (Europe)",6.507
"12",1743,"Estonia",0.727
"13",1743,"Europe",3.942
"14",1743,"Faroe Islands",6.105
"15",1743,"Finland",-3.571
"16",1743,"France",10.203
"17",1743,"France (Europe)",7.397
"18",1743,"Germany",5.468
"19",1743,"Greece",10.806
"20",1743,"Guernsey",10.692
"21",1743,"Hungary",5.041
"22",1743,"Iceland",-1.794
"23",1743,"Ireland",7.73
"24",1743,"Isle Of Man",9.623
"25",1743,"Italy",9.538
"26",1743,"Jersey",10.692
"27",1743,"Latvia",0.936
"28",1743,"Liechtenstein",1.323
"29",1743,"Lithuania",1.981
"30",1743,"Luxembourg",6.592
"31",1743,"Macedonia",5.431
"32",1743,"Moldova",3.415
"33",1743,"Monaco",5.096
"34",1743,"Montenegro",5.645
"35",1743,"Netherlands",8.009
"36",1743,"Netherlands (Europe)",7.606
"37",1743,"Norway",-3.503
"38",1743,"Poland",3.937
"39",1743,"Romania",3.89
"40",1743,"Saint Pierre And Miquelon",1.158
"41",1743,"San Marino",11.809
"42",1743,"Serbia",5.151
"43",1743,"Slovakia",3.697
"44",1743,"Slovenia",5.668
"45",1743,"Spain",9.346
"46",1743,"Sweden",-1.444
"47",1743,"Switzerland",3.572
"48",1743,"Ukraine",1.898
"49",1743,"United Kingdom",7.086
"50",1743,"United Kingdom (Europe)",7.176
"51",1744,"Åland",6.6985
"52",1744,"Albania",14.061875
"53",1744,"Andorra",12.16275
"54",1744,"Austria",7.78475
"55",1744,"Belarus",8.099625
"56",1744,"Belgium",10.681
"57",1744,"Bosnia And Herzegovina",12.01975
"58",1744,"Bulgaria",12.284
"59",1744,"Croatia",12.95025
"60",1744,"Czech Republic",9.247375
"61",1744,"Denmark (Europe)",9.13025
"62",1744,"Estonia",6.93775
"63",1744,"Europe",9.395375
"64",1744,"Faroe Islands",6.842375
"65",1744,"Finland",3.46875
"66",1744,"France",13.610125
"67",1744,"France (Europe)",11.496125
"68",1744,"Germany",9.541625
"69",1744,"Greece",16.2015
"70",1744,"Guernsey",11.612875
"71",1744,"Hungary",11.56375
"72",1744,"Iceland",2.04925
"73",1744,"Ireland",9.96175
"74",1744,"Isle Of Man",9.962125
"75",1744,"Italy",14.006
"76",1744,"Jersey",11.612875
"77",1744,"Latvia",7.380125
"78",1744,"Liechtenstein",6.089125
"79",1744,"Lithuania",7.942375
"80",1744,"Luxembourg",10.43325
"81",1744,"Macedonia",12.05525
"82",1744,"Moldova",11.17425
"83",1744,"Monaco",10.232625
"84",1744,"Montenegro",11.816375
"85",1744,"Netherlands",10.656875
"86",1744,"Netherlands (Europe)",10.287125
"87",1744,"Norway",1.498375
"88",1744,"Poland",9.321125
"89",1744,"Romania",10.762875
"90",1744,"Saint Pierre And Miquelon",5.92275
"91",1744,"San Marino",15.144625
"92",1744,"Serbia",11.767625
"93",1744,"Slovakia",9.314625
"94",1744,"Slovenia",11.235
"95",1744,"Spain",14.537375
"96",1744,"Sweden",4.140625
"97",1744,"Switzerland",8.351625
"98",1744,"Ukraine",9.997125
"99",1744,"United Kingdom",9.08825
"100",1744,"United Kingdom (Europe)",9.363125
"101",1745,"Åland",-3.8965
"102",1745,"Albania",5.58825
"103",1745,"Andorra",5.5635
"104",1745,"Austria",-0.97725
"105",1745,"Belarus",-3.5645
"106",1745,"Belgium",3.47225
"107",1745,"Bosnia And Herzegovina",3.1795
"108",1745,"Bulgaria",2.62725
"109",1745,"Croatia",4.04
"110",1745,"Czech Republic",0.0550000000000002
"111",1745,"Denmark (Europe)",0.33925
"112",1745,"Estonia",-5.09225
"113",1745,"Europe",0.27475
"114",1745,"Faroe Islands",2.91325
"115",1745,"Finland",-9.08025
"116",1745,"France",7.94975
"117",1745,"France (Europe)",4.69225
"118",1745,"Germany",1.16925
"119",1745,"Greece",7.71625
"120",1745,"Guernsey",6.34025
"121",1745,"Hungary",1.865
"122",1745,"Iceland",-3.555
"123",1745,"Ireland",5.2755
"124",1745,"Isle Of Man",4.80725
"125",1745,"Italy",6.10275
"126",1745,"Jersey",6.34025
"127",1745,"Latvia",-4.20125
"128",1745,"Liechtenstein",-2.1525
"129",1745,"Lithuania",-3.33375
"130",1745,"Luxembourg",2.9235
"131",1745,"Macedonia",2.8575
"132",1745,"Moldova",-0.0597500000000001
"133",1745,"Monaco",2.679
"134",1745,"Montenegro",2.86075
"135",1745,"Netherlands",3.4085
"136",1745,"Netherlands (Europe)",2.92625
"137",1745,"Norway",-7.92775
"138",1745,"Poland",-0.97175
"139",1745,"Romania",0.51175
"140",1745,"Saint Pierre And Miquelon",-3.61575
"141",1745,"San Marino",7.0625
"142",1745,"Serbia",2.3405
"143",1745,"Slovakia",-0.36025
"144",1745,"Slovenia",2.46425
"145",1745,"Spain",7.93175
"146",1745,"Sweden",-6.82325
"147",1745,"Switzerland",0.44225
"148",1745,"Ukraine",-1.62
"149",1745,"United Kingdom",4.0505
"150",1745,"United Kingdom (Europe)",3.8175
"151",1750,"Åland",6.29327272727273
"152",1750,"Albania",13.0979090909091
"153",1750,"Andorra",11.7593636363636
"154",1750,"Austria",6.98354545454545
"155",1750,"Belarus",6.69054545454545
"156",1750,"Belgium",10.3413636363636
"157",1750,"Bosnia And Herzegovina",11.0304545454545
"158",1750,"Bulgaria",11.02
"159",1750,"Croatia",12.0129090909091
"160",1750,"Czech Republic",8.45881818181818
"161",1750,"Denmark (Europe)",8.79718181818182
"162",1750,"Estonia",5.80190909090909
"163",1750,"Europe",8.59063636363636
"164",1750,"Faroe Islands",7.16463636363636
"165",1750,"Finland",2.22636363636364
"166",1750,"France",13.329
"167",1750,"France (Europe)",11.0859090909091
"168",1750,"Germany",9.03863636363636
"169",1750,"Greece",15.1877272727273
"170",1750,"Guernsey",11.3818181818182
"171",1750,"Hungary",10.4874545454545
"172",1750,"Iceland",1.96145454545455
"173",1750,"Ireland",9.98863636363636
"174",1750,"Isle Of Man",9.88281818181818
"175",1750,"Italy",13.2709090909091
"176",1750,"Jersey",11.3818181818182
"177",1750,"Latvia",6.32309090909091
"178",1750,"Liechtenstein",5.40009090909091
"179",1750,"Lithuania",6.856
"180",1750,"Luxembourg",10.0115454545455
"181",1750,"Macedonia",10.9480909090909
"182",1750,"Moldova",9.63390909090909
"183",1750,"Monaco",9.68963636363636
"184",1750,"Montenegro",10.8012727272727
"185",1750,"Netherlands",10.369
"186",1750,"Netherlands (Europe)",9.99472727272727
"187",1750,"Norway",1.04109090909091
